"scientificName","individualCount","country","locality","totalObservation","longitudeDecimal","latitudeDecimal"
"Cervus elaphus",3,"Poland","Poland - Białowieża NP",124,23.8221077621,52.798972885
"Sus scrofa",4,"Poland","Poland - Białowieża NP",112,23.8221077621,52.798972885
"Glaucidium passerinum",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Bombycilla garrulus",16,"Poland","Poland - Zbionrnik Siemianowka",318,23.7970022857,52.912576669
"Haliaeetus albicilla",6,"Poland","Poland - Zbionrnik Siemianowka",84,23.8659390807,52.9081247852
"Passer montanus",1,"Poland","Poland - Podlaskie",295,23.7998058647,52.8297355711
"Spinus spinus",1,"Poland","Poland - Podlaskie",10,23.7998058647,52.8297355711
"Picus canus",1,"Poland","Poland - Podlaskie",23,23.75,52.8
"Lanius excubitor",1,"Poland","Poland - Podlaskie",66,23.8210777938,52.8519247821
"Bombycilla garrulus",56,"Poland","Poland - Podlaskie",318,23.8343527168,52.8675363191
"Bombycilla garrulus",33,"Poland","Poland - Podlaskie",318,23.8178517669,52.8803191787
"Buteo lagopus",7,"Poland","Poland - Biebrza NP",35,22.637103796,53.4833437869
"Alces alces",4,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.7753743529,53.6590335312
"Alces alces",2,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Buteo lagopus",1,"Poland","Poland - Biebrza NP - Red Marsh",35,22.8602045774,53.5948465113
"Lanius excubitor",1,"Poland","Poland - Biebrza NP - Red Marsh",66,22.8602045774,53.5948465113
"Capreolus capreolus",4,"Poland","Poland - Biebrza NP - Red Marsh",185,22.8602045774,53.5948465113
"Vulpes vulpes",1,"Poland","Poland - Biebrza NP - Red Marsh",34,22.75,53.65
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.774258554,53.6577619534
"Alces alces",1,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7764901519,53.6600507658
"Alces alces",2,"Poland","Poland - Biebrza NP",173,22.6226252317,53.4538142791
"Sus scrofa",1,"Poland","Poland - Biebrza NP",112,22.5603121519,53.3663268206
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Haliaeetus albicilla",1,"Poland","Poland - Biebrza NP",84,22.5728434324,53.3678632393
"Alces alces",2,"Poland","Poland - Podlaskie",173,22.6000249386,53.3333300681
"Capreolus capreolus",5,"Poland","Poland - Podlaskie",185,22.6000249386,53.3333300681
"Castor fiber",2,"Poland","Poland - Biebrza NP",50,22.6,53.3
"Capreolus capreolus",4,"Poland","Poland - Podlaskie",185,22.3984770477,53.170160505
"Castor fiber",1,"Poland","Poland - Podlaskie",50,22.35,53.15
"Perdix perdix",8,"Poland","Poland - Biebrza NP",25,22.4534086883,53.2581788717
"Anser fabalis fabalis",18,"Poland","Poland - Biebrza NP",54,22.4534086883,53.2581788717
"Mustela vison",1,"Poland","Poland - Podlaskie",4,22.4004511535,53.169645998
"Lutra lutra",2,"Poland","Poland - Podlaskie",11,22.4,53.15
"Castor fiber",1,"Poland","Poland - Biebrza NP",50,22.6,53.3
"Cygnus olor",1,"Poland","Poland - Podlaskie",101,22.4095988274,53.2010907331
"Dryocopus martius",1,"Poland","Poland - Biebrza NP",72,22.5834864378,53.3885482806
"Capreolus capreolus",12,"Poland","Poland - Biebrza NP",185,22.5834864378,53.3885482806
"Alces alces",12,"Poland","Poland - Biebrza NP",173,22.5834864378,53.3885482806
"Sus scrofa",2,"Poland","Poland - Biebrza NP",112,22.5542744994,53.3926439364
"Alces alces",3,"Poland","Poland - Biebrza NP",173,22.5844869018,53.3779006112
"Capreolus capreolus",15,"Poland","Poland - Biebrza NP",185,22.5844869018,53.3779006112
"Haliaeetus albicilla",1,"Poland","Poland - Podlaskie",84,22.8928792477,53.3458343419
"Coccothraustes coccothraustes",5,"Poland","Poland - Dojlidy Fish Ponds",57,23.2231530547,53.1129863933
"Lanius excubitor",1,"Poland","Poland - Podlaskie",66,23.6002930999,52.8103877457
"Dendrocopos major",1,"Poland","Poland - Białowieża",83,23.5919098556,52.7382140659
"Dendrocopos syriacus",1,"Poland","Poland - Białowieża",3,23.5919098556,52.7382140659
"Pyrrhula pyrrhula",4,"Poland","Poland - Białowieża",49,23.5919098556,52.7382140659
"Coloeus monedula monedula",1,"Poland","Poland - Białowieża",4,23.5912232101,52.7379802144
"Dryobates minor",1,"Poland","Poland - Białowieża",18,23.7685212493,52.6999492729
"Picoides tridactylus",3,"Poland","Poland - Białowieża",23,23.7685212493,52.6999492729
"Lepus europaeus",1,"Poland","Poland - Białowieża",10,23.7675623596,52.802527505
"Vulpes vulpes",1,"Poland","Poland - Białowieża",34,23.75,52.8
"Glaucidium passerinum",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Tetrastes bonasia",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Dryocopus martius",5,"Poland","Poland - Bialowieski Park Narodowy",72,23.827572763,52.801878468
"Dendrocopos leucotos",3,"Poland","Poland - Białowieża NP",45,23.8240537047,52.7990243739
"Cervus elaphus",3,"Poland","Poland - Bialowieski Park Narodowy",124,23.8280019164,52.801878468
"Alcedo atthis",1,"Poland","Poland - Białowieża",11,23.8505753875,52.7013535868
"Castor fiber",1,"Poland","Poland - Białowieża",50,23.85,52.7
"Cervus elaphus",3,"Poland","Poland - Białowieża NP",124,23.8221077621,52.798972885
"Sus scrofa",4,"Poland","Poland - Białowieża NP",112,23.8221077621,52.798972885
"Canis lupus",1,"Poland","Poland - Bialowieski Park Narodowy",4,23.8,52.8
"Glaucidium passerinum",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
