"scientificName","individualCount","country","locality","totalObservation","longitudeDecimal","latitudeDecimal"
"Aglais io",1,"Poland","Poland - Białowieża",92,23.85770995,52.70582677
"Saxicola rubetra",1,"Poland","Poland - Białowieża",113,23.8577095,52.70578918
"Saxicola rubetra",1,"Poland","Poland - Białowieża",113,23.85774547,52.70581108
"Motacilla alba",4,"Poland","Poland - Białowieża",122,23.85772509,52.70583973
"Gonepteryx rhamni",1,"Poland","Poland - Białowieża",225,23.85718848,52.70598738
"Delichon urbicum",1,"Poland","Poland - Białowieża",127,23.85692136,52.70599451
"Aglais io",2,"Poland","Poland - Białowieża",92,23.85528462,52.70615557
"Streptopelia decaocto",1,"Poland","Poland - Białowieża",10,23.85408533,52.70622009
"Linaria cannabina",1,"Poland","Poland - Białowieża",37,23.85384924,52.70856596
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.85356479,52.70846933
"Saxicola rubetra",2,"Poland","Poland - Białowieża",113,23.85363853,52.70852368
"Passer domesticus",2,"Poland","Poland - Białowieża",307,23.85269272,52.70861585
"Chloris chloris",1,"Poland","Poland - Białowieża",65,23.85059281,52.70880099
"Motacilla alba",1,"Poland","Poland - Białowieża - Palace Park",122,23.84994713,52.70886322
"Lanius collurio",1,"Poland","Poland - Białowieża - Palace Park",274,23.84933874,52.70889088
"Ciconia ciconia",1,"Poland","Poland - Białowieża",341,23.84508633,52.70917218
"Fringilla coelebs",1,"Poland","Poland - Białowieża - Palace Park",83,23.84439839,52.70910186
"Aglais io",1,"Poland","Poland - Białowieża - Palace Park",92,23.84388449,52.70897048
"Muscicapa striata",1,"Poland","Poland - Białowieża",93,23.84337394,52.70802458
"Sitta europaea",1,"Poland","Poland - Białowieża",104,23.84337961,52.70787482
"Fringilla coelebs",1,"Poland","Poland - Białowieża",83,23.84327561,52.70740417
"Aglais io",1,"Poland","Poland - Białowieża",92,23.84327525,52.7072059
"Gonepteryx rhamni",1,"Poland","Poland - Białowieża",225,23.84327066,52.70694797
"Fringilla coelebs",2,"Poland","Poland - Białowieża - Palace Park",83,23.84331753,52.70672732
"Poecile palustris",1,"Poland","Poland - Białowieża - Palace Park",44,23.84328204,52.70624495
"Sitta europaea",1,"Poland","Poland - Białowieża - Palace Park",104,23.84328136,52.70624498
"Ficedula hypoleuca",1,"Poland","Poland - Białowieża - Palace Park",19,23.84327886,52.70624354
"Fringilla coelebs",4,"Poland","Poland - Białowieża - Palace Park",83,23.84327724,52.70624445
"Aphantopus hyperantus",2,"Poland","Poland - Białowieża - Palace Park",781,23.84327626,52.70624643
"Passer montanus",5,"Poland","Poland - Białowieża",295,23.84262313,52.70402946
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.84265718,52.70398328
"Gonepteryx rhamni",1,"Poland","Poland - Białowieża",225,23.84259414,52.70376313
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.84184893,52.70199516
"Anas platyrhynchos",2,"Poland","Poland - Białowieża",437,23.84123976,52.70138419
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.84126688,52.70137847
"Chloris chloris",1,"Poland","Poland - Białowieża",65,23.84112717,52.70117666
"Muscicapa striata",1,"Poland","Poland - Białowieża",93,23.84072383,52.69993789
"Serinus serinus",1,"Poland","Poland - Białowieża",22,23.8407407,52.69987921
"Turdus merula",1,"Poland","Poland - Białowieża - Palace Park",46,23.84973603,52.70054803
"Delichon urbicum",15,"Poland","Poland - Białowieża - Palace Park",127,23.85017942,52.70256189
"Passer montanus",1,"Poland","Poland - Białowieża - Palace Park",295,23.85020541,52.70253935
"Gonepteryx rhamni",3,"Poland","Poland - Białowieża - Palace Park",225,23.84780298,52.70345311
"Pararge aegeria",2,"Poland","Poland - Białowieża - Palace Park",17,23.84579402,52.70451639
"Hippolais icterina",1,"Poland","Poland - Białowieża - Palace Park",21,23.84620717,52.70469985
"Dendrocoptes medius",1,"Poland","Poland - Białowieża - Palace Park",62,23.84631607,52.70474631
"Dendrocopos major",1,"Poland","Poland - Białowieża - Palace Park",83,23.84634571,52.70471998
"Gonepteryx rhamni",1,"Poland","Poland - Białowieża - Palace Park",225,23.84646546,52.704848
"Fringilla coelebs",1,"Poland","Poland - Białowieża - Palace Park",83,23.84562731,52.7059262
"Ciconia ciconia",1,"Poland","Poland - Białowieża - Palace Park",341,23.84524534,52.70669825
"Gonepteryx rhamni",5,"Poland","Poland - Białowieża - Palace Park",225,23.84520386,52.70692289
"Lycaena virgaureae",1,"Poland","Poland - Białowieża - Palace Park",110,23.8,52.7
"Aphantopus hyperantus",5,"Poland","Poland - Białowieża - Palace Park",781,23.84519869,52.70701671
"Picus canus",1,"Poland","Poland - Białowieża - Palace Park",23,23.8,52.7
"Dendrocopos major",1,"Poland","Poland - Białowieża - Palace Park",83,23.84459398,52.70780368
"Argynnis paphia",2,"Poland","Poland - Białowieża - Palace Park",189,23.84422681,52.7081857
"Gonepteryx rhamni",9,"Poland","Poland - Białowieża - Palace Park",225,23.84416049,52.70846945
"Lycaena virgaureae",1,"Poland","Poland - Białowieża - Palace Park",110,23.8,52.7
"Pieris napi",2,"Poland","Poland - Białowieża - Palace Park",459,23.84575162,52.70867086
"Argynnis paphia",1,"Poland","Poland - Białowieża - Palace Park",189,23.84575546,52.7086539
"Pararge aegeria",2,"Poland","Poland - Białowieża - Palace Park",17,23.84575823,52.70863281
"Gonepteryx rhamni",8,"Poland","Poland - Białowieża - Palace Park",225,23.84708302,52.70871167
"Gonepteryx rhamni",6,"Poland","Poland - Białowieża - Palace Park",225,23.84728573,52.70865617
"Argynnis paphia",1,"Poland","Poland - Białowieża - Palace Park",189,23.84730112,52.70865476
"Polygonia c-album",1,"Poland","Poland - Białowieża - Palace Park",16,23.84835227,52.70851801
"Aphantopus hyperantus",1,"Poland","Poland - Białowieża - Palace Park",781,23.84875583,52.70836822
"Phylloscopus collybita",1,"Poland","Poland - Białowieża - Palace Park",37,23.84877331,52.70836864
"Pieris napi",15,"Poland","Poland - Białowieża - Palace Park",459,23.84921759,52.70815371
"Gonepteryx rhamni",3,"Poland","Poland - Białowieża - Palace Park",225,23.84922489,52.70815344
"Aglais io",1,"Poland","Poland - Białowieża - Palace Park",92,23.84922497,52.70815365
"Sitta europaea",1,"Poland","Poland - Białowieża - Palace Park",104,23.84929222,52.70792634
"Cupido argiades",1,"Poland","Poland - Białowieża - Palace Park",3,23.8,52.7
"Aphantopus hyperantus",3,"Poland","Poland - Białowieża - Palace Park",781,23.84935022,52.70663811
"Polygonia c-album",1,"Poland","Poland - Białowieża - Palace Park",16,23.84935091,52.7067182
"Dendrocoptes medius",1,"Poland","Poland - Białowieża - Palace Park",62,23.84936364,52.70654037
"Bufo bufo",2,"Poland","Poland - Białowieża - Palace Park",15,23.84921272,52.70627659
"Pararge aegeria",1,"Poland","Poland - Białowieża - Palace Park",17,23.84827086,52.70557524
"Aphantopus hyperantus",2,"Poland","Poland - Białowieża - Palace Park",781,23.84774298,52.70528408
"Carduelis carduelis",1,"Poland","Poland - Białowieża - Palace Park",58,23.84444376,52.70242707
"Anas platyrhynchos",5,"Poland","Poland - Białowieża - Palace Park",437,23.84444553,52.70242567
"Phylloscopus collybita",1,"Poland","Poland - Białowieża - Palace Park",37,23.8444457,52.7024256
"Anas platyrhynchos",8,"Poland","Poland - Białowieża - Palace Park",437,23.84540598,52.70172517
"Acrocephalus arundinaceus",1,"Poland","Poland - Białowieża - Palace Park",51,23.84540646,52.70172541
"Delichon urbicum",10,"Poland","Poland - Białowieża - Palace Park",127,23.8454068,52.70172532
"Hirundo rustica",15,"Poland","Poland - Białowieża - Palace Park",1026,23.84540703,52.70172505
"Turdus merula",1,"Poland","Poland - Białowieża - Palace Park",46,23.8454026,52.70170631
"Muscicapa striata",1,"Poland","Poland - Białowieża - Palace Park",93,23.8454039,52.7017071
"Sylvia atricapilla",1,"Poland","Poland - Białowieża - Palace Park",34,23.84540424,52.70170736
"Columba palumbus",1,"Poland","Poland - Białowieża - Palace Park",46,23.84540402,52.70170734
"Sylvia atricapilla",1,"Poland","Poland - Białowieża - Palace Park",34,23.84540186,52.70170709
"Dendrocoptes medius",1,"Poland","Poland - Białowieża",62,23.846967,52.700054
"Calopteryx splendens",1,"Poland","Poland - Białowieża - Palace Park",35,23.84568544,52.70188888
"Bufo bufo",1,"Poland","Poland - Białowieża - Palace Park",15,23.84892261,52.70284103
"Erithacus rubecula",1,"Poland","Poland - Białowieża - Palace Park",25,23.84933296,52.7028328
"Dendrocoptes medius",1,"Poland","Poland - Białowieża",62,23.8633598015,52.6952230957
"Lanius excubitor",1,"Poland","Poland - Białowieża",66,23.8633598015,52.6952230957
"Acrocephalus arundinaceus",1,"Poland","Poland - Białowieża",51,23.8633598015,52.6952230957
"Phylloscopus collybita",1,"Poland","Poland - Białowieża",37,23.8633598015,52.6952230957
"Actitis hypoleucos",1,"Poland","Poland - Białowieża",14,23.8633598015,52.6952230957
"Capreolus capreolus",1,"Poland","Poland - Białowieża",185,23.8633598015,52.6952230957
"Oriolus oriolus",1,"Poland","Poland - Białowieża",75,23.8633598015,52.6952230957
"Hippolais icterina",1,"Poland","Poland - Białowieża",21,23.8633598015,52.6952230957
"Lanius excubitor",1,"Poland","Poland - Białowieża",66,23.8633598015,52.6952230957
"Coccothraustes coccothraustes",1,"Poland","Poland - Białowieża",57,23.8633598015,52.6952230957
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.8633598015,52.6952230957
"Sus scrofa",1,"Poland","Poland - Białowieża",112,23.8432650268,52.7074908347
"Cervus elaphus",1,"Poland","Poland - Białowieża",124,23.7691502273,52.7308861237
"Lanius excubitor",1,"Poland","Poland - Białowieża",66,23.8678908907,52.6938511477
"Acrocephalus paludicola",1,"Poland","Poland - Białowieża",143,23.8678908907,52.6938511477
"Acrocephalus schoenobaenus",1,"Poland","Poland - Białowieża",78,23.8678908907,52.6938511477
"Ixobrychus minutus",1,"Poland","Poland - Białowieża",2,23.8678908907,52.6938511477
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.872704953,52.700313765
"Muscicapa striata",1,"Poland","Poland - Białowieża",93,23.872704953,52.700313765
"Sylvia communis",1,"Poland","Poland - Białowieża",56,23.861733377,52.7059302962
"Chloris chloris",1,"Poland","Poland - Białowieża",65,23.861733377,52.7059302962
"Sylvia communis",1,"Poland","Poland - Białowieża",56,23.8597016037,52.7082448785
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.8597016037,52.7082448785
"Saxicola rubetra",1,"Poland","Poland - Białowieża",113,23.8557963073,52.708608895
"Ciconia ciconia",1,"Poland","Poland - Białowieża",341,23.8440730423,52.7093371221
"Fringilla coelebs",1,"Poland","Poland - Białowieża",83,23.8440730423,52.7093371221
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.8364626095,52.7026740517
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.8364626095,52.7026740517
"Anas platyrhynchos",1,"Poland","Poland - Białowieża",437,23.8364626095,52.7026740517
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.8364626095,52.7026740517
"Linaria cannabina",1,"Poland","Poland - Białowieża",37,23.8426638767,52.6993713416
"Passer domesticus",1,"Poland","Poland - Białowieża",307,23.8426638767,52.6993713416
"Turdus philomelos",1,"Poland","Poland - Białowieża",46,23.8426638767,52.6993713416
"Grus grus",1,"Poland","Poland - Podlaskie",450,22.59139843,53.36933995
"Circus aeruginosus",1,"Poland","Poland - Biebrza NP",75,22.59231394,53.36850305
"Emberiza schoeniclus",1,"Poland","Poland - Biebrza NP",61,22.60785959,53.29275088
"Alces alces",2,"Poland","Poland - Biebrza NP",173,22.608095,53.288976
"Saxicola rubetra",4,"Poland","Poland - Biebrza NP",113,22.608095,53.288976
"Bufo bufo",1,"Poland","Poland - Podlaskie",15,22.57198107,53.24023492
"Emberiza schoeniclus",3,"Poland","Poland - Podlaskie",61,22.56688138,53.23307202
"Emberiza citrinella",1,"Poland","Poland - Podlaskie",281,22.56537891,53.22840532
"Ciconia ciconia",2,"Poland","Poland - Podlaskie",341,22.58984339,53.21540039
"Corvus cornix",2,"Poland","Poland - Podlaskie",88,22.57105174,53.22561925
"Ciconia ciconia",2,"Poland","Poland - Podlaskie",341,22.54714096,53.21114569
"Emberiza citrinella",1,"Poland","Poland - Podlaskie",281,22.56916575,53.19599501
"Ciconia ciconia",1,"Poland","Poland - Podlaskie",341,22.65180654,53.16604914
"Ciconia ciconia",1,"Poland","Poland - Podlaskie",341,22.7505246,53.13492861
"Ciconia ciconia",1,"Poland","Poland - Bialystok",341,23.23253208,53.09697207
"Ciconia ciconia",1,"Poland","Poland - Bialystok",341,23.23777729,53.09400627
"Ciconia ciconia",1,"Poland","Poland - Podlaskie",341,23.25675723,53.08270177
"Ciconia ciconia",1,"Poland","Poland - Podlaskie",341,23.25925284,53.08050986
"Lycaena virgaureae",2,"Poland","Poland - Podlaskie",110,23.4,52.95
"Sturnus vulgaris",300,"Poland","Poland - Podlaskie",837,23.58595758,52.8299756
"Sturnus vulgaris",1,"Poland","Poland - Podlaskie",837,23.58595758,52.8299756
"Hirundo rustica",2,"Poland","Poland - Podlaskie",1026,23.61393091,52.79942734
"Hirundo rustica",5,"Poland","Poland - Podlaskie",1026,23.6098319,52.79550764
"Hirundo rustica",10,"Poland","Poland - Podlaskie",1026,23.60879032,52.79492465
"Hirundo rustica",5,"Poland","Poland - Podlaskie",1026,23.60135528,52.78788632
"Emberiza citrinella",1,"Poland","Poland - Podlaskie",281,23.60024995,52.78690451
"Passer domesticus",1,"Poland","Poland - Podlaskie",307,23.58944405,52.77167304
"Lanius collurio",1,"Poland","Poland - Podlaskie",274,23.58708617,52.76419011
"Hirundo rustica",2,"Poland","Poland - Białowieża",1026,23.58586595,52.76084562
"Passer domesticus",5,"Poland","Poland - Białowieża",307,23.58486549,52.75803661
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.58453165,52.75709386
"Sturnus vulgaris",1,"Poland","Poland - Białowieża",837,23.58359609,52.75440155
"Muscicapa striata",1,"Poland","Poland - Białowieża",93,23.83305732,52.69367157
"Ciconia ciconia",1,"Poland","Poland - Białowieża",341,23.83381736,52.69362547
"Passer montanus",1,"Poland","Poland - Białowieża",295,23.83867687,52.69609318
"Linaria cannabina",1,"Poland","Poland - Białowieża",37,23.83860402,52.69613389
"Muscicapa striata",1,"Poland","Poland - Białowieża - Palace Park",93,23.84956358,52.70014725
"Hirundo rustica",5,"Poland","Poland - Białowieża",1026,23.85934157,52.70125958
"Passer domesticus",5,"Poland","Poland - Białowieża",307,23.86011193,52.70118173
"Sitta europaea",1,"Poland","Poland - Białowieża",104,23.85189713,52.70247515
"Muscicapa striata",1,"Poland","Poland - Białowieża",93,23.85189618,52.70247599
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.85189775,52.7024767
"Ciconia ciconia",5,"Poland","Poland - Białowieża",341,23.8530423,52.69581173
"Ciconia ciconia",10,"Poland","Poland - Białowieża",341,23.85313732,52.69573639
"Garrulus glandarius",1,"Poland","Poland - Białowieża",41,23.85901021,52.68909794
"Hirundo rustica",20,"Poland","Poland - Białowieża",1026,23.86312261,52.69012892
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.86579983,52.69174738
"Turdus philomelos",2,"Poland","Poland - Białowieża",46,23.85301858,52.69583919
"Chloris chloris",1,"Poland","Poland - Białowieża",65,23.85279406,52.69425365
"Crex crex",1,"Poland","Poland - Białowieża",68,23.85,52.65
"Crex crex",1,"Poland","Poland - Białowieża",68,23.85,52.65
"Sylvia nisoria",3,"Poland","Poland - Białowieża",27,23.85299652,52.69409803
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.85299639,52.69409812
"Turdus philomelos",1,"Poland","Poland - Białowieża",46,23.85299698,52.69409729
"Corvus corax",1,"Poland","Poland - Białowieża",62,23.85283563,52.69421682
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.85269351,52.69439419
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.85296377,52.69598639
"Motacilla alba",2,"Poland","Poland - Białowieża",122,23.85121684,52.69727015
"Galeopsis speciosa",50,"Poland","Poland - Białowieża",102,23.84954049,52.6985679
"Sitta europaea",1,"Poland","Poland - Białowieża",104,23.84457104,52.69991512
"Passer domesticus",3,"Poland","Poland - Białowieża",307,23.84196541,52.69980377
"Hirundo rustica",1,"Poland","Poland - Białowieża",1026,23.84095434,52.69991176
"Passer domesticus",2,"Poland","Poland - Białowieża",307,23.83885872,52.70024407
"Delichon urbicum",1,"Poland","Poland - Białowieża",127,23.83545968,52.7010144
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.82140458,52.70908336
"Dendrocopos leucotos",1,"Poland","Poland - Białowieża",45,23.82127224,52.70924573
"Hippolais icterina",1,"Poland","Poland - Białowieża",21,23.82122644,52.70925054
"Hippolais icterina",1,"Poland","Poland - Białowieża",21,23.82018088,52.71038366
"Turdus philomelos",1,"Poland","Poland - Białowieża",46,23.81926216,52.71122957
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.81765821,52.71695518
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.81591611,52.71919928
"Sylvia communis",3,"Poland","Poland - Białowieża",56,23.81591602,52.71919923
"Acrocephalus palustris",4,"Poland","Poland - Białowieża",11,23.81591568,52.71919925
"Saxicola rubetra",1,"Poland","Poland - Białowieża",113,23.81591568,52.71919921
"Aphantopus hyperantus",4,"Poland","Poland - Białowieża",781,23.81591546,52.71919922
"Passer domesticus",3,"Poland","Poland - Białowieża",307,23.80983152,52.72374888
"Delichon urbicum",1,"Poland","Poland - Białowieża",127,23.80436366,52.72419356
"Hirundo rustica",2,"Poland","Poland - Białowieża",1026,23.80296757,52.72453855
"Sitta europaea",2,"Poland","Poland - Białowieża NP",104,23.78995652,52.731071
"Sylvia atricapilla",1,"Poland","Poland - Białowieża NP",34,23.78992975,52.73105354
"Dendrocopos major",1,"Poland","Poland - Białowieża NP",83,23.78991823,52.7310758
"Dendrocoptes medius",1,"Poland","Poland - Białowieża NP",62,23.78993858,52.73108086
"Poecile palustris",4,"Poland","Poland - Białowieża NP",44,23.78996724,52.73107276
"Parus major",3,"Poland","Poland - Białowieża NP",52,23.78996798,52.73107275
"Fringilla coelebs",5,"Poland","Poland - Białowieża NP",83,23.78996804,52.73107228
"Aphantopus hyperantus",7,"Poland","Poland - Białowieża NP",781,23.78988829,52.73105484
"Garrulus glandarius",2,"Poland","Poland - Białowieża NP",41,23.78983601,52.73109957
"Motacilla alba",1,"Poland","Poland - Białowieża NP",122,23.78975431,52.73347904
"Anas platyrhynchos",1,"Poland","Poland - Białowieża NP",437,23.78970073,52.73356101
"Pieris napi",9,"Poland","Poland - Białowieża NP",459,23.78912678,52.73542044
"Sciurus vulgaris",1,"Poland","Poland - Białowieża",21,23.78917169,52.735558
"Hirundo rustica",2,"Poland","Poland - Białowieża",1026,23.76916014,52.73146735
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.76915292,52.73144027
"Ciconia ciconia",2,"Poland","Poland - Białowieża",341,23.76664342,52.73190981
"Passer domesticus",1,"Poland","Poland - Białowieża",307,23.76615935,52.73200435
"Passer montanus",1,"Poland","Poland - Białowieża",295,23.76414359,52.73223128
"Passer domesticus",1,"Poland","Poland - Białowieża",307,23.76366314,52.73229214
"Passer domesticus",10,"Poland","Poland - Białowieża",307,23.76339433,52.73263482
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.76341889,52.73311567
"Delichon urbicum",2,"Poland","Poland - Białowieża",127,23.76370286,52.73368715
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.7640598,52.73639154
"Hippolais icterina",1,"Poland","Poland - Białowieża",21,23.76403511,52.73644698
"Carpodacus erythrinus",2,"Poland","Poland - Białowieża",53,23.76402428,52.7364534
"Crex crex",1,"Poland","Poland - Białowieża",68,23.75,52.7
"Phylloscopus collybita",2,"Poland","Poland - Białowieża",37,23.7640114,52.73578196
"Delichon urbicum",20,"Poland","Poland - Białowieża",127,23.76393983,52.73588916
"Pieris napi",5,"Poland","Poland - Białowieża",459,23.76393344,52.73638361
"Aphantopus hyperantus",4,"Poland","Poland - Białowieża",781,23.7639774,52.7363994
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.76507755,52.73848807
"Clanga pomarina",1,"Poland","Poland - Białowieża",43,23.76467171,52.73784167
"Picus canus",1,"Poland","Poland - Białowieża",23,23.75,52.7
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.76251647,52.73712181
"Crex crex",1,"Poland","Poland - Białowieża",68,23.75,52.7
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.76078563,52.73756593
"Passer domesticus",5,"Poland","Poland - Białowieża",307,23.76078549,52.73759026
"Aphantopus hyperantus",6,"Poland","Poland - Białowieża",781,23.76078333,52.73757632
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.76181084,52.73736471
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.76346214,52.73701103
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.76380603,52.73390511
"Sylvia communis",1,"Poland","Poland - Białowieża",56,23.75882884,52.73007021
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.75759448,52.7297669
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.75685693,52.7295325
"Natrix natrix",1,"Poland","Poland - Białowieża",89,23.7,52.7
"Grus grus",2,"Poland","Poland - Białowieża",450,23.74812116,52.72796226
"Phylloscopus collybita",1,"Poland","Poland - Białowieża",37,23.74814569,52.7280036
"Pieris napi",5,"Poland","Poland - Białowieża",459,23.74936874,52.72779043
"Argynnis paphia",1,"Poland","Poland - Białowieża",189,23.74937521,52.72781303
"Phylloscopus collybita",1,"Poland","Poland - Białowieża",37,23.74937369,52.72781468
"Sylvia atricapilla",1,"Poland","Poland - Białowieża",34,23.74927298,52.72780167
"Turdus pilaris",1,"Poland","Poland - Białowieża",81,23.74000588,52.7291952
"Turdus pilaris",1,"Poland","Poland - Białowieża",81,23.73984931,52.72923271
"Parus major",1,"Poland","Poland - Białowieża",52,23.73924747,52.72945612
"Passer domesticus",3,"Poland","Poland - Białowieża",307,23.73775754,52.73008631
"Saxicola rubetra",1,"Poland","Poland - Białowieża",113,23.73689334,52.73038976
"Oriolus oriolus",1,"Poland","Poland - Białowieża",75,23.73689345,52.73038948
"Carduelis carduelis",2,"Poland","Poland - Białowieża",58,23.73675995,52.73041834
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.73587647,52.73071072
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.73113531,52.73212329
"Carduelis carduelis",1,"Poland","Poland - Białowieża",58,23.73045552,52.73232449
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.7304578,52.7323221
"Oriolus oriolus",1,"Poland","Poland - Podlaskie",75,23.2356333733,53.0849453261
"Phoenicurus ochruros",1,"Poland","Poland - Podlaskie",45,23.2356333733,53.0849453261
"Linaria cannabina",1,"Poland","Poland - Podlaskie",37,23.2356333733,53.0849453261
"Falco tinnunculus",1,"Poland","Poland - Podlaskie",1,23.2356333733,53.0849453261
"Hirundo rustica",3,"Poland","Poland - Białowieża NP",1026,23.827829354,52.7991185843
"Turdus pilaris",1,"Poland","Poland - Białowieża",81,23.8681706786,52.6914183956
"Dendrocopos major",1,"Poland","Poland - Białowieża",83,23.8785555214,52.6901704444
"Acrocephalus arundinaceus",1,"Poland","Poland - Białowieża",51,23.8785555214,52.6901704444
"Sitta europaea",1,"Poland","Poland - Białowieża",104,23.8785555214,52.6901704444
"Parus major",1,"Poland","Poland - Białowieża",52,23.8785555214,52.6901704444
"Sylvia atricapilla",1,"Poland","Poland - Białowieża",34,23.8785555214,52.6901704444
"Cyanistes caeruleus",1,"Poland","Poland - Białowieża",13,23.8785555214,52.6901704444
"Emberiza schoeniclus",1,"Poland","Poland - Białowieża",61,23.8785555214,52.6901704444
"Cervus elaphus",1,"Poland","Poland - Białowieża",124,23.7698382139,52.7303651466
"Hirundo rustica",1,"Poland","Poland - Bialowieski Park Narodowy",1026,23.9201009274,52.7603954235
"Polyommatus icarus",1,"Poland","Poland - Bialowieski Park Narodowy",8,23.8216799498,52.7786762305
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.8033121824,52.7248553202
"Phoenicurus ochruros",1,"Poland","Poland - Białowieża",45,23.8033121824,52.7248553202
"Chloris chloris",1,"Poland","Poland - Białowieża",65,23.8574270904,52.6863723157
"Carpodacus erythrinus",1,"Poland","Poland - Białowieża",53,23.8574270904,52.6863723157
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.8574270904,52.6863723157
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.8574270904,52.6863723157
"Turdus pilaris",1,"Poland","Poland - Białowieża",81,23.8668684661,52.6915228472
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.8744215667,52.6885834768
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.8568262756,52.6857219528
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.8411,52.6937
"Ciconia ciconia",1,"Poland","Poland - Białowieża",341,23.8412,52.692
"Oriolus oriolus",1,"Poland","Poland - Białowieża",75,23.8398,52.6876
"Crex crex",1,"Poland","Poland - Białowieża",68,23.8,52.65
"Capreolus capreolus",1,"Poland","Poland - Białowieża",185,23.8402,52.6882
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.8403,52.689
"Oriolus oriolus",1,"Poland","Poland - Białowieża",75,23.8405,52.69
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.8405,52.69
"Streptopelia decaocto",1,"Poland","Poland - Białowieża",10,23.8408,52.6924
"Sylvia curruca",1,"Poland","Poland - Białowieża",9,23.8411,52.6925
"Emberiza citrinella",5,"Poland","Poland - Białowieża",281,23.8413,52.6925
"Turdus merula",5,"Poland","Poland - Białowieża",46,23.8413,52.6934
"Hirundo rustica",10,"Poland","Poland - Białowieża",1026,23.8413,52.6934
"Corvus corax",1,"Poland","Poland - Białowieża",62,23.8413,52.6934
"Crex crex",1,"Poland","Poland - Białowieża",68,23.8,52.65
"Turdus pilaris",2,"Poland","Poland - Białowieża",81,23.8417,52.6955
"Serinus serinus",1,"Poland","Poland - Białowieża",22,23.8425,52.6989
"Chloris chloris",1,"Poland","Poland - Białowieża",65,23.8428,52.6992
"Dendrocopos major",1,"Poland","Poland - Białowieża",83,23.6951,52.7614
"Capreolus capreolus",1,"Poland","Poland - Białowieża",185,23.7328,52.7388
"Parus major",1,"Poland","Poland - Białowieża",52,23.771,52.7296
"Periparus ater",1,"Poland","Poland - Białowieża",8,23.771,52.7296
"Lanius collurio",2,"Poland","Poland - Białowieża",274,23.7708,52.7297
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.8108,52.7272
"Phoenicurus ochruros",1,"Poland","Poland - Białowieża - Palace Park",45,23.8465,52.7037
"Ciconia ciconia",1,"Poland","Poland - Białowieża - Palace Park",341,23.8457,52.7054
"Carduelis carduelis",1,"Poland","Poland - Białowieża - Palace Park",58,23.8454,52.7065
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.846,52.7132
"Oriolus oriolus",2,"Poland","Poland - Białowieża",75,23.846,52.7131
"Parus major",1,"Poland","Poland - Bialowieski Park Narodowy",52,23.8469,52.7221
"Sitta europaea",1,"Poland","Poland - Bialowieski Park Narodowy",104,23.8463,52.7201
"Certhia familiaris",1,"Poland","Poland - Bialowieski Park Narodowy",7,23.845,52.7187
"Lanius collurio",1,"Poland","Poland - Białowieża",274,23.8442,52.7122
"Crex crex",1,"Poland","Poland - Białowieża",68,23.8,52.7
"Corvus corax",1,"Poland","Poland - Białowieża",62,23.844,52.7122
